song_id,name,activity_type
335,Katy Perry - Roar.mp3,daily
336,Katy Perry - Firework.mp3,daily
337,Pharrell Williams - Happy.mp3,daily
338,Alicia Keys - Girl on Fire.mp3,daily
339,Shaun Jacobs - With You.mp3,daily
341,Shaun Jacobs - Don't Give Up On Me Yet.mp3,daily
345,Snow Patrol - Chasing Cars.mp3,daily
346,Linkin Park - Shadow of the Day.mp3,daily
347,Coldplay - The Escapist.mp3,daily
348,Coldplay - Clocks.mp3,daily
349,Coldplay - Yellow.mp3,daily
350,Coldplay - Lovers in Japan.mp3,daily
352,Radiohead - No Surprises.mp3,daily
354,Journey - Open Arms.mp3,daily
355,Queen - We Are The Champions.mp3,daily
356,Queen - Don't stop me now.mp3,daily
357,Queen - Bohemian Rhapsody.mp3,daily
359,Ariana Grande - Side To Side.mp3,daily
360,Bruno Mars - Runaway Baby.mp3,daily
361,Bruno Mars - Treasure.mp3,daily
362,"Earth, Wind & Fire - September.mp3",daily
363,Two Door Cinema Club - Sun.mp3,daily
364,Foster the People - Helena Beat.mp3,daily
366,Justin Bieber - The Feeling.mp3,daily
367,Kygo - Nothing Left.mp3,daily
368,Rihanna - Needed Me.mp3,daily
371,Tove Lo - Say it.mp3,daily
373,John Mayer - Vultures.mp3,daily
374,Wafia - Heartburn.mp3,party
394,Ke$ha - Die Young.mp3,party
395,Ke$ha - TiK ToK.mp3,party
396,Lady Gaga - Just Dance.mp3,party
397,Lady Gaga - Poker Face.mp3,party
398,Party Rock Anthem - LMFAO.mp3,party
399,Rihanna - Don't Stop The Music.mp3,party
400,Taio Cruz - Break Your Heart.mp3,party
401,Taio Cruz - Dynamite.mp3,party
403,50 Cent - In Da Club.mp3,party
406,Beastie Boys - Fight For Your Right.mp3,party
407,Blondie - Heart Of Glass.mp3,party
408,Britney Spears - Toxic.mp3,party
410,Deee Lite - Groove is in the Heart.mp3,party
412,Ginuwine - Pony.mp3,party
413,Iggy Azalea - Black Widow.mp3,party
414,Justin Timberlake - Rock Your Body.mp3,party
417,Lil Jon - Get Low.mp3,party
419,Missy Elliott - Get Ur Freak On.mp3,party
420,Nelly - Hot in Herre.mp3,party
421,Nelly - Ride Wit Me.mp3,party
422,Nelly Furtado - Promiscuous.mp3,party
423,OutKast - Ms. Jackson.mp3,party
424,P!nk - Get The Party Started.mp3,party
426,R. Kelly - Ignition.mp3,party
427,Rick James - Super Freak.mp3,party
