song_id,name,mood_type
335,Katy Perry - Roar.mp3,excited
337,Pharrell Williams - Happy.mp3,excited
339,Shaun Jacobs - With You.mp3,excited
343,Ne-Yo - Let Me Love You.mp3,excited
355,Queen - We Are The Champions.mp3,excited
356,Queen - Don't stop me now.mp3,excited
358,Queen - Somebody to Love.mp3,excited
359,Ariana Grande - Side To Side.mp3,excited
360,Bruno Mars - Runaway Baby.mp3,excited
361,Bruno Mars - Treasure.mp3,excited
362,"Earth, Wind & Fire - September.mp3",excited
364,Foster the People - Helena Beat.mp3,excited
370,The Weeknd - Party Monster.mp3,excited
374,Wafia - Heartburn.mp3,excited
376,Capital Cities - Safe And Sound.mp3,excited
377,Two Door Cinema Club - Undercover Martyn.mp3,excited
378,Young the Giant - My Body.mp3,excited
379,Snow Patrol - Called out in the dark.mp3,excited
382,Grouplove - Shark Attack.mp3,excited
383,Foster the people - Houdini.mp3,excited
384,Tiesto - Wasted.mp3,excited
397,Lady Gaga - Poker Face.mp3,excited
399,Rihanna - Don't Stop The Music.mp3,excited
400,Taio Cruz - Break Your Heart.mp3,excited
401,Taio Cruz - Dynamite.mp3,excited
402,The Wanted - Glad You Came.mp3,excited
405,B-52 - Love Shack.mp3,excited
406,Beastie Boys - Fight For Your Right.mp3,excited
407,Blondie - Heart Of Glass.mp3,excited
408,Britney Spears - Toxic.mp3,excited
409,Danza Kuduro - Don Omar.mp3,excited
410,Deee Lite - Groove is in the Heart.mp3,excited
412,Ginuwine - Pony.mp3,excited
413,Iggy Azalea - Black Widow.mp3,excited
414,Justin Timberlake - Rock Your Body.mp3,excited
415,Justin Timberlake - SexyBack.mp3,excited
416,Kanye West - Gold Digger.mp3,excited
417,Lil Jon - Get Low.mp3,excited
420,Nelly - Hot In Herre.mp3,excited
421,Nelly - Ride Wit Me.mp3,excited
422,Nelly Furtado - Promiscuous.mp3,excited
423,OutKast - Ms. Jackson.mp3,excited
424,P!nk - Get The Party Started.mp3,excited
425,Quad City Dj's - C'Mon 'N Ride It.mp3,excited
426,R. Kelly - Ignition.mp3,excited
427,Rick James - Super Freak.mp3,excited
428,Right Said Fred - I'm Too Sexy.mp3,excited
429,Rihanna - Umbrella.mp3,excited
431,Shakira - Hips Don't Lie.mp3,excited
432,Surfaris - Wipe Out.mp3,excited
433,Sweet Caroline (Good Times Never Seemed So Good).mp3,excited
434,TAG TEAM - WHOOMP THERE IT IS.mp3,excited
435,The Black Eyed Peas - I Gotta Feeling.mp3,excited
437,The Pussycat Dolls - Don't Cha.mp3,excited
438,The Troggs - Wild Thing.mp3,excited
439,The True Lyrics to Louie Louie.mp3,excited
443,Village People - YMCA.mp3,excited
444,Will Smith - Miami.mp3,excited
445,Grouplove - Lovely Cup.mp3,excited
447,Vampire Weekend - Diane Young.mp3,excited
453,Charlie Puth - One Call Away.mp3,excited
454,Charlie Puth - We Dont Talk Anymore.mp3,excited
456,Ed Sheeran - Shape of You.mp3,excited
468,Shawn Mendes - Treat You Better.mp3,excited
470,Sia - Unstoppable.mp3,excited
471,SOLANGE - CRANES IN THE SKY,excited
472,The Lumineers - Ophelia.mp3,excited
487,"Jack Johnson - Sitting, Waiting, Wishing.mp3",excited
488,Vampire Weekend - Cape Cod Kwassa Kwassa.mp3,excited
489,John Mayer - Queen Of California.mp3,excited
