Song Name,Weather,Activity,Mood
Katy Perry - Roar.mp3,sunny,chores/work,excited
Katy Perry - Firework.mp3,sunny,chores/work,excited
Pharrell Williams - Happy.mp3,sunny,chores/work,excited
Alicia Keys - Girl on Fire.mp3,sunny,chores/work,excited
Shaun Jacobs - With You.mp3,sunny,chores/work,excited
Shaun Jacobs - Will You Remember.mp3,rainy,chores/work,sad
Shaun Jacobs - Don't Give Up On Me Yet.mp3,rainy,chores/work,sad
P!nk - Just Give Me A Reason.mp3,sunny,chores/work,sad
Ne-Yo - Let Me Love You.mp3,sunny,chores/work,excited
Labrinth - Beneath Your Beautiful.mp3,rainy,chores/work,sad
Snow Patrol - Chasing Cars.mp3,rainy,chores/work,sad
Linkin Park - Shadow of the Day.mp3,rainy,chores/work,sad
Coldplay - The Escapist.mp3,rainy,chores/work,sad
Coldplay - Clocks.mp3,sunny,chores/work,sad
Coldplay - Yellow.mp3,rainy,chores/work,sad
Coldplay - Lovers in Japan.mp3,sunny,chores/work,sad
Coldplay - Strawberry Swing.mp3,sunny,chores/work,sad
Radiohead - No Surprises.mp3,snowy,chores/work,sad
Radiohead - Fake Plastic Trees.mp3,rainy,chores/work,sad
Journey - Open Arms.mp3,sunny,chores/work,sad
Queen - We Are The Champions.mp3,sunny,chores/work,excited
Queen - Don't stop me now.mp3,sunny,chores/work,excited
Queen - Bohemian Rhapsody.mp3,sunny,chores/work,sad
Queen - Somebody to Love.mp3,sunny,chores/work,excited
Ariana Grande - Side To Side.mp3,sunny,chores/work,excited
Bruno Mars - Runaway Baby.mp3,sunny,chores/work,excited
Bruno Mars - Treasure.mp3,sunny,chores/work,excited
"Earth, Wind & Fire - September.mp3",sunny,chores/work,excited
Two Door Cinema Club - Sun.mp3,Sunny,Daily,Excited
Foster the People - Helena Beat.mp3,Sunny,Daily,Excited
Louis The Child - Fire.mp3,Cold,Daily,Sad
Justin Bieber - The Feeling.mp3,Cold,Daily,Sad
Kygo - Nothing Left.mp3,Cold,Daily,Sad
Rihanna - Needed Me.mp3,Cold,Daily,Sad
Post Malone - White Iverson.mp3,Cold,Daily,Sad
The Weeknd - Party Monster.mp3,Cold,Daily,Excited
Tove Lo - Say it.mp3,Cold,Daily,Sad
Edward Sharpe - Home.mp3,Sunny,Daily ,Excited
John Mayer - Vultures.mp3,Sunny,Daily ,Excited
Wafia - Heartburn.mp3,Cold,party,Excited
Avicii - Wake Me Up.mp3,sunny,Gym/Motivational,excited
Capital Cities - Safe And Sound.mp3,sunny,Gym/Motivational,excited
