song_id,name,weather_type
335,Katy Perry - Roar.mp3,sunny
336,Katy Perry - Firework.mp3,sunny
337,Pharrell Williams - Happy.mp3,sunny
339,Shaun Jacobs - With You.mp3,sunny
343,Ne-Yo - Let Me Love You.mp3,sunny
348,Coldplay - Clocks.mp3,sunny
350,Coldplay - Lovers in Japan.mp3,sunny
354,Journey - Open Arms.mp3,sunny
355,Queen - We Are The Champions.mp3,sunny
356,Queen - Don't stop me now.mp3,sunny
357,Queen - Bohemian Rhapsody.mp3,sunny
358,Queen - Somebody to Love.mp3,sunny
360,Bruno Mars - Runaway Baby.mp3,sunny
361,Bruno Mars - Treasure.mp3,sunny
363,Two Door Cinema Club - Sun.mp3,sunny
364,Foster the People - Helena Beat.mp3,sunny
372,Edward Sharpe - Home.mp3,sunny
373,John Mayer - Vultures.mp3,sunny
377,Two Door Cinema Club - Undercover Martyn.mp3,sunny
378,Young the Giant - My Body.mp3,sunny
379,Snow Patrol - Called out in the dark.mp3,sunny
380,Passion Pit - Dreams.mp3,sunny
381,M83 - Midnight City.mp3,sunny
382,Grouplove - Shark Attack.mp3,sunny
383,Foster the people - Houdini.mp3,sunny
384,Tiesto - Wasted.mp3,sunny
394,Ke$ha - Die Young.mp3,sunny
395,Ke$ha - TiK ToK.mp3,sunny
396,Lady Gaga - Just Dance.mp3,sunny
397,Lady Gaga - Poker Face.mp3,sunny
398,Party Rock Anthem - LMFAO.mp3,sunny
399,Rihanna - Don't Stop The Music.mp3,sunny
401,Taio Cruz - Dynamite.mp3,sunny
403,50 Cent - In Da Club.mp3,sunny
407,Blondie - Heart Of Glass.mp3,sunny
408,Britney Spears - Toxic.mp3,sunny
409,Danza Kuduro - Don Omar.mp3,sunny
410,Deee Lite - Groove is in the Heart.mp3,sunny
411,Def Leppard - Pour Some Sugar On Me.mp3,sunny
412,Ginuwine - Pony.mp3,sunny
415,Justin Timberlake - SexyBack.mp3,sunny
416,Kanye West - Gold Digger.mp3,sunny
417,Lil Jon - Get Low.mp3,sunny
421,Nelly - Ride Wit Me.mp3,sunny
422,Nelly Furtado - Promiscuous.mp3,sunny
423,OutKast - Ms. Jackson.mp3,sunny
426,R. Kelly - Ignition.mp3,sunny
428,Right Said Fred - I'm Too Sexy.mp3,sunny
429,Rihanna - Umbrella.mp3,sunny
430,Sean Paul - Temperature.mp3,sunny
431,Shakira - Hips Don't Lie.mp3,sunny
432,Surfaris - Wipe Out.mp3,sunny
433,Sweet Caroline (Good Times Never Seemed So Good).mp3,sunny
434,TAG TEAM - WHOOMP THERE IT IS.mp3,sunny
436,The Cha Cha Slide - Dj Casper.mp3,sunny
437,The Pussycat Dolls - Don't Cha.mp3,sunny
438,The Troggs - Wild Thing.mp3,sunny
439,The True Lyrics to Louie Louie.mp3,sunny
440,Timbaland - The Way I Are.mp3,sunny
441,Tommy James & the Shondells - Mony Mony.mp3,sunny
442,Usher - Yeah!.mp3,sunny
444,Will Smith - Miami.mp3,sunny
445,Grouplove - Lovely Cup.mp3,sunny
